Subject,Condition,NoiseType,Set,File,Score
DT04EF29,synsmall,Kassette,2,3,0
DT04EF29,white,Kassette,2,1,0
DT04EF29,orig,Regen,1,1,100
DT04EF29,gauss,Regen,1,1,0
DT04EF29,synth,Regen,1,1,100
DT04EF29,synsmall,Regen,1,1,100
DT04EF29,orig,Regen,1,2,75
DT04EF29,gauss,Regen,1,2,10
DT04EF29,synth,Regen,1,2,24
DT04EF29,synsmall,Regen,1,2,13
DT04EF29,orig,Regen,1,3,76
DT04EF29,gauss,Regen,1,3,0
DT04EF29,synth,Regen,1,3,100
DT04EF29,synsmall,Regen,1,3,19
DT04EF29,white,Regen,1,1,0
DT04EF29,orig,Regen,2,1,100
DT04EF29,gauss,Regen,2,1,0
DT04EF29,synth,Regen,2,1,14
DT04EF29,synsmall,Regen,2,1,100
DT04EF29,orig,Regen,2,2,100
DT04EF29,gauss,Regen,2,2,0
DT04EF29,synth,Regen,2,2,36
DT04EF29,synsmall,Regen,2,2,100
DT04EF29,orig,Regen,2,3,100
DT04EF29,gauss,Regen,2,3,0
DT04EF29,synth,Regen,2,3,72
DT04EF29,synsmall,Regen,2,3,20
DT04EF29,white,Regen,2,1,0
DT04EF29,orig,Schallplatte,1,1,100
DT04EF29,gauss,Schallplatte,1,1,0
DT04EF29,synth,Schallplatte,1,1,6
DT04EF29,synsmall,Schallplatte,1,1,7
DT04EF29,orig,Schallplatte,1,2,13
DT04EF29,gauss,Schallplatte,1,2,0
DT04EF29,synth,Schallplatte,1,2,38
DT04EF29,synsmall,Schallplatte,1,2,9
DT04EF29,orig,Schallplatte,1,3,47
DT04EF29,gauss,Schallplatte,1,3,0
DT04EF29,synth,Schallplatte,1,3,64
DT04EF29,synsmall,Schallplatte,1,3,63
DT04EF29,white,Schallplatte,1,1,0
DT04EF29,orig,Schallplatte,2,1,100
DT04EF29,gauss,Schallplatte,2,1,0
DT04EF29,synth,Schallplatte,2,1,100
DT04EF29,synsmall,Schallplatte,2,1,52
DT04EF29,orig,Schallplatte,2,2,22
DT04EF29,gauss,Schallplatte,2,2,0
DT04EF29,synth,Schallplatte,2,2,30
DT04EF29,synsmall,Schallplatte,2,2,0
DT04EF29,orig,Schallplatte,2,3,0
DT04EF29,gauss,Schallplatte,2,3,0
DT04EF29,synth,Schallplatte,2,3,0
DT04EF29,synsmall,Schallplatte,2,3,0
DT04EF29,white,Schallplatte,2,1,0
EM08CH15,orig,Applaus,1,1,96
EM08CH15,gauss,Applaus,1,1,7
EM08CH15,synth,Applaus,1,1,69
EM08CH15,synsmall,Applaus,1,1,64
EM08CH15,orig,Applaus,1,2,100
EM08CH15,gauss,Applaus,1,2,0
EM08CH15,synth,Applaus,1,2,33
EM08CH15,synsmall,Applaus,1,2,30
EM08CH15,orig,Applaus,1,3,93
EM08CH15,gauss,Applaus,1,3,13
EM08CH15,synth,Applaus,1,3,85
EM08CH15,synsmall,Applaus,1,3,36
EM08CH15,white,Applaus,1,1,0
EM08CH15,orig,Applaus,2,1,100
EM08CH15,gauss,Applaus,2,1,0
EM08CH15,synth,Applaus,2,1,45
EM08CH15,synsmall,Applaus,2,1,21
EM08CH15,orig,Applaus,2,2,100
